Designator,Quantity,Value,Footprint,Manufacturer,MPN,LCSC Part #,Assembly,Source URL,Notes
"C3,C5,C8,C9,C10",5,100nF 50V X7R,C_0805_2012Metric,Yageo,CC0805KRX7R9BB104,C49678,JLCPCB SMT,https://www.lcsc.com/product-detail/C49678.html,"Basic: same 0805, 100nF, 50V, X7R, 10% ratings."
C4,1,10nF C0G 5%,C_0805_2012Metric,Murata Electronics,GRM2195C1H103JA01D,C97905,JLCPCB SMT,https://www.lcsc.com/product-detail/C97905.html,10nF 50V C0G 5% 0805. Extended: JLCPCB stocks no Basic or Preferred-extended C0G/NP0 10nF in any package (checked 2026-09-05). Replaces zero-stock C1845387. Do not substitute X7R - this is the MPPT sample-and-hold node.
C11,1,10nF 50V X7R,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B103KBANNNC,C1710,JLCPCB SMT,https://www.lcsc.com/product-detail/C1710.html,
C13,1,100nF 10V,C_0603_1608Metric,Yageo,CC0603KRX7R9BB104,C14663,JLCPCB SMT,https://www.lcsc.com/product-detail/C14663.html,"100nF 50V X7R, exceeds 10V minimum."
"R1,R2,R3,R4,R17,R18,R20,R21,R22,R23,R24",11,2M 1%,R_0603_1608Metric,UNI-ROYAL,0603WAF2004T5E,C22976,JLCPCB SMT,https://www.lcsc.com/product-detail/C22976.html,R24 now 2M; telemetry conversion is 21 times ADC voltage.
R5,1,1.5M 1%,R_0603_1608Metric,UNI-ROYAL,0603WAF1504T5E,C4172,JLCPCB SMT,https://www.lcsc.com/product-detail/C4172.html,1.5M 1%. Preferred-extended tier: no per-part loading fee. In stock 2026-09-05.
R19,1,3M 1%,R_0603_1608Metric,UNI-ROYAL,0603WAF3004T5E,C23156,JLCPCB SMT,https://www.lcsc.com/product-detail/C23156.html,3M 1%. Preferred-extended tier: no per-part loading fee. In stock 2026-09-05.
R25,1,100k 1%,R_0603_1608Metric,UNI-ROYAL,0603WAF1003T5E,C25803,JLCPCB SMT,https://www.lcsc.com/product-detail/C25803.html,
"R8,R9,R12,R14,R15",5,10k,R_0805_2012Metric,UNI-ROYAL,0805W8F1002T5E,C17414,JLCPCB SMT,https://www.lcsc.com/product-detail/C17414.html,
R10,1,1k,R_0805_2012Metric,UNI-ROYAL,0805W8F1001T5E,C17513,JLCPCB SMT,https://www.lcsc.com/product-detail/C17513.html,
R11,1,100k,R_0805_2012Metric,UNI-ROYAL,0805W8F1003T5E,C149504,JLCPCB SMT,https://www.lcsc.com/product-detail/C149504.html,
R13,1,47k,R_0805_2012Metric,UNI-ROYAL,0805W8F4702T5E,C17713,JLCPCB SMT,https://www.lcsc.com/product-detail/C17713.html,
R16,1,52.3k 1%,R_0805_2012Metric,UNI-ROYAL,0805W8F5232T5E,C17740,JLCPCB SMT,https://www.lcsc.com/product-detail/C17740.html,"52.3k 1%. Extended and unavoidable: TPS62842 decodes 3.3V only from RSET 50.21k-54.39k and JLCPCB has no Basic or Preferred 52.3k. The nearest Basic value (51k, C17737) leaves under 0.6% margin to the window edge before tempco."
"J1,J3",2,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,JST,B2B-PH-K-S(LF)(SN),C131337,Hand solder,https://www.lcsc.com/product-detail/C131337.html,Retain original manual-assembly policy; J3 optional. Mate with PHR-2 housing and SPH-002T-P0.5S contacts. JST specifies PCB thickness 0.8-1.6mm.
J2,1,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,Ckmtw,B-2100S04P-A110,C124378,Hand solder,https://www.lcsc.com/product-detail/C124378.html,"Straight 1x4 male header, 2.54mm pitch, 3mm solder tails; programming header optional."
RV1,1,100k trim,Potentiometer_Bourns_3296W_Vertical,Bourns,3296W-1-104LF,C48084,Hand solder,https://www.lcsc.com/product-detail/C48084.html,
SC1,1,3F 5.4V PHV-5R4V305-R,CP_Eaton_PHV_3F_Vertical_P11.8mm,Eaton,PHV-5R4V305-R,,Hand solder - external purchase,https://www.eaton.com/us/en-us/skuPage.PHV-5R4V305-R.html,User-approved LCSC exception. Mouser 504-PHV-5R4V305-R. Essential: 3F 5.4V low-ESR vertical pack; do not replace with a high-ESR memory-backup capacitor.
SOL1 (external),1,123mW solar module,29x23mm rear solder pads,ANYSOLAR,SM141K04L,C22012449,Hand solder - external carrier,https://item.szlcsc.com/23442921.html,Not on main-board CPL. Hand solder <=5 seconds below 400C; no high-temperature reflow.
